brand,title,salesPrice in Euro,collection,standard_price in Euro,Tag,Start Standard Price,End Standard Price,Start Sales Price,End Sales Price,Standard Price(€),Sales Price(€),Discount (%),info,Product Type
TED BAKER,Pearsho Short Sleeve Geometric Shirt, 77.00,Men's clothing, 110.00,EXTRA 10% OFF AT CHECKOUT,110.0,0.0,77.0,0.0,110.0,77.0,30.0,Pearsho Short Sleeve Geometric,Shirt
REISS,Alistar Garment Dye Sweatshirt, 54.00,Men's clothing, 95.00,EXTRA 10% OFF AT CHECKOUT,95.0,0.0,54.0,0.0,95.0,54.0,43.16,Alistar Garment Dye,Sweatshirt
REISS,Quinn Contrast Trim Polo Shirt, 63.00,Men's clothing, 135.00,EXTRA 10% OFF AT CHECKOUT,135.0,0.0,63.0,0.0,135.0,63.0,53.33,Quinn Contrast Trim Polo,Shirt
TED BAKER,Camdun Slim Leg Denim Jeans, 75.00,Men's clothing, 125.00,EXTRA 10% OFF AT CHECKOUT,125.0,0.0,75.0,0.0,125.0,75.0,40.0,Camdun Slim Leg Denim,Jeans
THE KOOPLES,Logo Print T-Shirt, 40.00,Men's clothing, 80.00,EXTRA 10% OFF AT CHECKOUT,80.0,0.0,40.0,0.0,80.0,40.0,50.0,Logo Print,T-Shirt
TED BAKER,Bossa Monogram Pocket T-Shirt, 40.00,Men's clothing, 80.00,EXTRA 10% OFF AT CHECKOUT,80.0,0.0,40.0,0.0,80.0,40.0,50.0,Bossa Monogram Pocket,T-Shirt
REISS,Marley Brushed Check Overshirt, 72.00,Men's clothing, 185.00,EXTRA 10% OFF AT CHECKOUT,185.0,0.0,72.0,0.0,185.0,72.0,61.08,Marley Brushed Check,Overshirt
TED BAKER,Soft Touch Long Sleeve Polo Shirt, 77.00,Men's clothing, 110.00,EXTRA 10% OFF AT CHECKOUT,110.0,0.0,77.0,0.0,110.0,77.0,30.0,Soft Touch Long Sleeve Polo,Shirt
THE KOOPLES,Zip-Through Leather Bomber Jacket, 297.50,Men's clothing, 595.00,EXTRA 10% OFF AT CHECKOUT,595.0,0.0,297.5,0.0,595.0,297.5,50.0,Zip-Through Leather Bomber,Jacket
REISS,Lemar Technical Trousers, 93.00,Men's clothing, 170.00,EXTRA 10% OFF AT CHECKOUT,170.0,0.0,93.0,0.0,170.0,93.0,45.29,Lemar Technical,Trousers
REISS,Ryder Puffer Coat, 199.00,Men's clothing, 425.00,EXTRA 10% OFF AT CHECKOUT,425.0,0.0,199.0,0.0,425.0,199.0,53.18,Ryder Puffer,Coat
REISS,Baron Mercerised Jersey Shirt, 54.00,Men's clothing, 95.00,EXTRA 10% OFF AT CHECKOUT,95.0,0.0,54.0,0.0,95.0,54.0,43.16,Baron Mercerised Jersey,Shirt
TED BAKER,Keanuj Slim Fit Jersey Blazer, 231.00,Men's clothing, 360.00,EXTRA 10% OFF AT CHECKOUT,360.0,0.0,231.0,0.0,360.0,231.0,35.83,Keanuj Slim Fit Jersey,Blazer
THE KOOPLES,Logo Patch Crew Neck T Shirt, 42.50,Men's clothing, 85.00,EXTRA 10% OFF AT CHECKOUT,85.0,0.0,42.5,0.0,85.0,42.5,50.0,Logo Patch Crew Neck T,Shirt
THE KOOPLES,Skull Screenprint T-Shirt, 47.50,Men's clothing, 95.00,EXTRA 10% OFF AT CHECKOUT,95.0,0.0,47.5,0.0,95.0,47.5,50.0,Skull Screenprint,T-Shirt
REISS,Cast Brushed Dogtooth Overcoat, 242.00,Men's clothing, 525.00,EXTRA 10% OFF AT CHECKOUT,525.0,0.0,242.0,0.0,525.0,242.0,53.9,Cast Brushed Dogtooth,Overcoat
REISS,Bark Epsom Wool Blend Check Overcoat, 192.00,Men's clothing, 525.00,EXTRA 10% OFF AT CHECKOUT,525.0,0.0,192.0,0.0,525.0,192.0,63.43,Bark Epsom Wool Blend Check,Overcoat
REISS,Pitch Washed Slim Fit Chinos, 54.00,Men's clothing, 95.00,EXTRA 10% OFF AT CHECKOUT,95.0,0.0,54.0,0.0,95.0,54.0,43.16,Pitch Washed Slim Fit,Chinos
THE KOOPLES,Slim Leg Jeans, 77.50,Men's clothing, 155.00,EXTRA 10% OFF AT CHECKOUT,155.0,0.0,77.5,0.0,155.0,77.5,50.0,Slim Leg,Jeans
TED BAKER,Cambly Slim Leg Denim Jeans, 75.00,Men's clothing, 125.00,EXTRA 10% OFF AT CHECKOUT,125.0,0.0,75.0,0.0,125.0,75.0,40.0,Cambly Slim Leg Denim,Jeans
TED BAKER,Mangata Abstract Print T-Shirt, 41.00,Men's clothing, 59.00,EXTRA 10% OFF AT CHECKOUT,59.0,0.0,41.0,0.0,59.0,41.0,30.51,Mangata Abstract Print,T-Shirt
THE KOOPLES,The Kooples Screen Print Sweater, 107.50,Men's clothing, 215.00,EXTRA 10% OFF AT CHECKOUT,215.0,0.0,107.5,0.0,215.0,107.5,50.0,The Kooples Screen Print,Sweater
REISS,Kiss Casentino Twin Pocket Overshirt, 65.00,Men's clothing, 195.00,EXTRA 10% OFF AT CHECKOUT,195.0,0.0,65.0,0.0,195.0,65.0,66.67,Kiss Casentino Twin Pocket,Overshirt
TED BAKER,Shakerj Slim Fit Cotton Linen Jacket, 177.00,Men's clothing, 385.00,EXTRA 10% OFF AT CHECKOUT,385.0,0.0,177.0,0.0,385.0,177.0,54.03,Shakerj Slim Fit Cotton Linen,Jacket
TED BAKER,Wragby Tonal Magnolia Jacquard Shirt, 65.00,Men's clothing, 130.00,EXTRA 10% OFF AT CHECKOUT,130.0,0.0,65.0,0.0,130.0,65.0,50.0,Wragby Tonal Magnolia Jacquard,Shirt
THE KOOPLES,Leopard Screenprint T-Shirt, 62.50,Men's clothing, 125.00,EXTRA 10% OFF AT CHECKOUT,125.0,0.0,62.5,0.0,125.0,62.5,50.0,Leopard Screenprint,T-Shirt
THE KOOPLES,Wool Tailored Trousers, 117.50,Men's clothing, 235.00,EXTRA 10% OFF AT CHECKOUT,235.0,0.0,117.5,0.0,235.0,117.5,50.0,Wool Tailored,Trousers
TED BAKER,Portmay Dogtooth Trousers, 87.00,Men's clothing, 125.00,EXTRA 10% OFF AT CHECKOUT,125.0,0.0,87.0,0.0,125.0,87.0,30.4,Portmay Dogtooth,Trousers
THE KOOPLES,Marble Print Zip-Through Sweatshirt, 147.50,Men's clothing, 295.00,EXTRA 10% OFF AT CHECKOUT,295.0,0.0,147.5,0.0,295.0,147.5,50.0,Marble Print Zip-Through,Sweatshirt
REISS,Sinclair Quilted Hybrid Funnel Neck Jacket, 107.00,Men's clothing, 285.00,EXTRA 10% OFF AT CHECKOUT,285.0,0.0,107.0,0.0,285.0,107.0,62.46,Sinclair Quilted Hybrid Funnel Neck,Jacket
TED BAKER,Baren Irvine Fit Textured Trousers, 87.00,Men's clothing, 125.00,EXTRA 10% OFF AT CHECKOUT,125.0,0.0,87.0,0.0,125.0,87.0,30.4,Baren Irvine Fit Textured,Trousers
REISS,Wessex Crew Neck Sweater, 85.00,Men's clothing, 125.00,EXTRA 10% OFF AT CHECKOUT,125.0,0.0,85.0,0.0,125.0,85.0,32.0,Wessex Crew Neck,Sweater
TED BAKER,Duddin Henley T-Shirt, 49.00,Men's clothing, 70.00,EXTRA 10% OFF AT CHECKOUT,70.0,0.0,49.0,0.0,70.0,49.0,30.0,Duddin Henley,T-Shirt
THE KOOPLES,Rib Knit Sweater, 122.50,Men's clothing, 245.00,EXTRA 10% OFF AT CHECKOUT,245.0,0.0,122.5,0.0,245.0,122.5,50.0,Rib Knit,Sweater
TED BAKER,Raydon Single Breasted Wool Coat, 255.00,Men's clothing, 425.00,EXTRA 10% OFF AT CHECKOUT,425.0,0.0,255.0,0.0,425.0,255.0,40.0,Raydon Single Breasted Wool,Coat
REISS,Bonucci Corduroy Overshirt, 64.00,Men's clothing, 170.00,EXTRA 10% OFF AT CHECKOUT,170.0,0.0,64.0,0.0,170.0,64.0,62.35,Bonucci Corduroy,Overshirt
REISS,James Long Sleeve Textured Over Shirt, 71.00,Men's clothing, 140.00,EXTRA 10% OFF AT CHECKOUT,140.0,0.0,71.0,0.0,140.0,71.0,49.29,James Long Sleeve Textured Over,Shirt
